species,tm_start,tm_end,n_tm_helices,note
homo_sapiens_eadr_Q9UNE0,187,208,1,
pan_troglodytes_edar_XP_001139583.1,187,208,1,
gorilla_gorilla_edar_XP_055234307.2_X2,229,250,1,
ursus_arctos_edar_XP_026371920.2_X2,222,243,1,
bos_mutus_edar_XP_070236258.1,188,209,1,
manis_javanica_edar_XP_036871482.1,187,208,1,
neophocaena_asiaeorientalis_asiaeorientalis_edar_XP_024613749.1,188,208,1,
loxodonta_africana_edar_XP_023408419.2,184,205,1,
trichechus_manatus_latirostris_edar_XP_023588010.1,185,206,1,
sus_scrofa_edar_XP_013851326.1_X1,200,221,1,
heterocephalus_glaber_edar_XP_004844790.1,184,205,1,
struthio_camelus_edar_XP_009663782.2_X2,187,208,1,
dromaius_novaehollandiae_edar_XP_025952793.1_X3,188,209,1,
anser_cygnoides_edar_XP_066846576.1_X2,,,2,multiple TM helices (55-64; 230-251) -- unexpected for EDAR, check
columba_livia_edar_XP_064915994.1_X2,204,225,1,
alligator_mississippiensis_edar_XP_019340546.1_X2,187,208,1,
chrysemys_picta_bellii_edar_XP_023966604.1_X2,204,225,1,
python_bivittatus_edar_XP_025022074.1,188,209,1,
pogona_vitticeps_edar_XP_078247593.1,188,209,1,
danio_rerio_edar_NP_001108536.3,187,207,1,
cyprinus_carpio_edar_XP_042611121.1,187,207,1,
oncorhynchus_clarkii_lewisi_edar_XP_070979073.1,187,207,1,
scyliorhinus_canicula_edar_XP_038674957.1,190,210,1,
archocentrus_centrarchus_edar_XP_030613440.1,183,204,1,
